station_id,popularity,popularity,Total
5,4871,4771,9642
13,4105,3509,7614
14,1389,1464,2853
15,1553,1590,3143
16,1524,1632,3156
17,2756,2604,5360
19,1837,1781,3618
20,2840,2574,5414
21,2434,2629,5063
22,2203,2122,4325
23,1912,1901,3813
24,6543,6438,12981
25,8120,7988,16108
26,10853,10251,21104
27,1417,1349,2766
28,1998,1971,3969
29,2622,2526,5148
30,1910,1932,3842
31,4753,4859,9612
32,1511,1743,3254
33,5446,5627,11073
34,6433,6053,12486
35,17071,15389,32460
36,8664,9190,17854
37,6770,7641,14411
42,1694,1696,3390
43,7635,8175,15810
44,5893,6420,12313
45,6211,6218,12429
46,2775,3124,5899
47,8071,7458,15529
48,6101,5948,12049
49,6810,7490,14300
50,4606,4782,9388
51,6557,6829,13386
52,9906,10186,20092
53,5298,5629,10927
54,2415,2424,4839
55,1606,1728,3334
56,5190,5525,10715
57,2543,2173,4716
58,3235,3539,6774
59,8141,7624,15765
60,4003,3839,7842
61,2695,2435,5130
62,3472,3665,7137
66,5636,5970,11606
67,5764,5641,11405
68,1943,2112,4055
69,5813,5079,10892
71,2753,2891,5644
72,2953,2644,5597
73,3589,4069,7658
74,5222,5626,10848
75,9508,9570,19078
76,14456,14612,29068
77,7728,7881,15609
80,4275,3936,8211
81,7499,8255,15754
84,1974,2089,4063
85,13561,12520,26081
86,1892,1813,3705
87,2320,2374,4694
88,2713,2888,5601
90,17390,16322,33712
91,13054,14123,27177
92,1453,1479,2932
93,2497,2517,5014
94,6005,5749,11754
97,12765,11896,24661
98,3956,4780,8736
99,6554,6523,13077
100,6119,5673,11792
106,2363,2290,4653
108,1945,1925,3870
109,1372,1481,2853
110,6021,5735,11756
111,1891,2103,3994
112,2621,2530,5151
113,1486,1413,2899
114,3224,2988,6212
115,3458,3250,6708
116,1133,1099,2232
117,2276,2372,4648
118,2656,2844,5500
119,865,836,1701
120,1276,1131,2407
121,740,790,1530
122,908,909,1817
123,2809,2539,5348
124,379,341,720
126,6845,6382,13227
127,342,351,693
128,2691,2358,5049
129,1015,1087,2102
130,2822,2992,5814
131,560,489,1049
132,130,110,240
134,3459,3584,7043
135,527,492,1019
136,284,234,518
137,1342,1447,2789
138,1203,1272,2475
140,5002,4620,9622
